Segment,Balance,logBalance,NumProducts,DigitalUsage,Tenure,FeeIncrease,Complaints,Delinquency_30d,CreditUtilization,InterestRateDiff,Churn
MidValue,3706.7592468930734,8.218182996555466,3,1,69,1,0,0,0.5460144973793204,0.34565682411603005,0
MidValue,2767.7380801226145,7.92614692863659,3,0,55,0,0,0,0.41883498594114116,0.8055288971816879,0
HighValue,5324.460249663818,8.580254418704358,3,0,11,0,0,0,0.3711075701024968,0.5549869100257189,0
LowValue,6476.564526043814,8.776099873952656,1,1,83,0,1,0,0.35000910413825376,1.0916263437598759,0
LowValue,4185.373788481058,8.339590193926478,2,0,34,0,0,0,0.2595046929597033,0.1667888384238989,0
LowValue,4162.077441434323,8.334009849336228,3,1,105,0,0,0,0.5104032625352166,0.4457955713147858,0
MidValue,4525.275756016029,8.41765475142898,1,0,61,1,0,0,0.4116408997203944,0.8977826892398233,0
MidValue,4309.040388141643,8.368702553852414,3,1,7,0,1,0,0.19165934314419433,1.0792424038201855,1
LowValue,2845.5953764625833,7.953878954403696,4,0,36,0,2,0,0.20195953891108565,0.849388504273445,0
LowValue,7047.662048055378,8.860593097378056,4,0,50,0,0,0,0.22765323604201565,0.16552621850577326,1
LowValue,5658.499831336199,8.641090798270584,2,1,77,0,0,0,0.38298418987091976,0.8576076551764016,0
HighValue,3932.457459202951,8.2772740787122,4,1,76,1,1,0,0.20773825439573182,0.23077512049390797,0
HighValue,5445.757642309777,8.602775782600842,1,0,81,0,0,0,0.2303306254971688,0.45408366932017385,0
MidValue,4342.314091076401,8.376392951143899,2,0,47,0,0,1,0.140303054449147,0.41662870001421837,0
HighValue,4682.54384993798,8.451810335248247,2,1,10,0,1,0,0.2441077584027986,0.49912150846256487,0
MidValue,5545.945747368672,8.621002739471741,2,0,26,1,0,0,0.3351043339513898,0.014489803461894657,1
LowValue,6429.446737961802,8.768799291950714,4,0,75,0,0,0,0.3889486802317139,0.0625397761217224,0
MidValue,7279.286193861917,8.892925452761691,3,1,80,0,1,0,0.3717020422403589,0.44982048458533225,0
MidValue,7555.864173423557,8.930211591248442,4,1,40,0,0,0,0.06621740254048106,0.8767771389443753,0
HighValue,4626.711938853586,8.439817843259181,1,1,23,0,0,0,0.12657284700555785,0.5174137886777858,1
MidValue,4250.377113299735,8.354998236091923,4,0,97,0,0,0,0.368191738153284,0.49848323874174255,0
MidValue,5149.396252883027,8.546828933005258,2,0,25,0,1,1,0.5641260015207583,0.41712615607598164,1
LowValue,5192.514818432469,8.55516597592893,1,1,41,0,0,0,0.25016673273177875,0.0,0
LowValue,3898.6671613327107,8.268646485227773,3,1,50,0,0,0,0.600237914443821,0.40653436018688316,0
MidValue,4069.2870676478556,8.311468808540946,2,1,76,0,0,0,0.22308686282353377,0.7493805521313074,0
HighValue,6219.910580631272,8.735671570618319,2,0,71,0,0,0,0.7875473685935186,0.5553517148987502,0
LowValue,7462.701520611141,8.917806752527582,4,1,30,0,0,0,0.49174216275101046,0.264971984084006,0
MidValue,4660.248727431242,8.447038658482802,2,0,38,0,0,0,0.17628982930894546,0.46907535719484805,1
LowValue,4028.0521835069912,8.301286437082402,3,0,38,1,1,0,0.5782927265276981,0.08793360634749592,1
HighValue,4574.9431900637155,8.428568118223767,1,1,18,0,0,0,0.3540373797353022,0.0,0
MidValue,3507.3029600449336,8.16288771237562,3,1,66,0,0,0,0.1748178693067005,0.2615255588510162,0
LowValue,4590.692345316038,8.432003937783692,4,0,47,0,0,0,0.2644649548807706,0.7777285534472891,0
MidValue,5633.666212201631,8.636693189972602,1,1,40,0,0,0,0.3247936790910455,0.5107137140051156,0
MidValue,4877.985557615967,8.492692599699952,4,1,66,1,1,0,0.11731020840765305,0.7724688142433653,0
MidValue,6851.866395592409,8.832422295640987,4,1,59,0,0,0,0.20401966485287568,0.7555036650106963,0
MidValue,5226.332048330651,8.561656302298978,3,1,36,1,0,0,0.35131887717130617,0.33320353326551067,0
MidValue,5721.6792910013355,8.652192382223003,1,0,73,0,0,0,0.3273886832677857,1.3145356237084127,0
HighValue,4776.863701385761,8.471748801188744,3,0,93,0,0,0,0.09093316819852428,0.49089696550391704,0
MidValue,6973.498559840533,8.85001571304299,3,0,31,0,2,0,0.10133709843969815,0.2934333992428042,1
LowValue,3166.4815966901424,8.06069210213584,3,1,109,0,0,0,0.32573625481050283,0.6350589102214341,0
MidValue,4544.612989549656,8.421917868705322,4,1,63,0,0,0,0.4020954965753838,0.4962026439981684,0
MidValue,3239.466986479713,8.083472730029952,4,1,33,0,0,0,0.1353531612259488,0.5190721343937749,0
HighValue,6239.410260517532,8.738801206080051,2,1,74,0,0,0,0.28084532261329126,0.31822219115466477,0
MidValue,6275.483434434536,8.744565139954938,1,1,98,0,0,0,0.5414525120505764,0.4111910587678211,0
LowValue,4226.3486104800995,8.349330269482222,2,1,102,0,1,0,0.1787657280980988,0.3333861562284638,0
MidValue,7487.169977455233,8.921079717880454,1,0,34,0,0,0,0.46115778646885164,0.2884857995976608,0
LowValue,4554.106106541119,8.424004103943298,1,1,65,0,0,1,0.2172406634499838,0.2991246648787971,0
MidValue,2924.934320077441,7.981369134327941,1,1,69,0,1,0,0.37779622687022363,0.8159338723368046,0
HighValue,4578.193242745733,8.429278113720262,4,0,46,0,2,0,0.13424496049153592,0.5005776568885988,0
MidValue,5540.030764911613,8.619935821082871,2,1,11,0,1,0,0.22417725298872765,0.5157519663287085,0
HighValue,4648.411977609396,8.444496034157027,2,0,83,0,1,0,0.2679490428542173,0.6790731605043561,1
MidValue,8398.280899800815,9.035901374000332,3,0,109,0,1,0,0.12641750886095746,0.21336189083417395,0
LowValue,6283.079976169911,8.745774726247088,1,1,17,0,1,0,0.2575058716241155,0.6500762616148464,0
HighValue,7596.9191580842435,8.935629693796816,1,1,4,0,0,0,0.14835241054737755,0.93568491728939,0
LowValue,7078.828164636414,8.865004915861652,3,1,52,1,2,0,0.3500671325096985,0.5361285126592299,0
MidValue,2471.3229824468644,7.812913466372424,2,1,106,1,0,0,0.26644418162659517,0.0,0
HighValue,4433.362090002275,8.397139048998664,1,0,6,0,0,0,0.04366942754912418,0.2519327316470922,0
HighValue,907.2714696907315,6.811543309347367,3,0,80,0,0,0,0.15186547498007577,0.4758706774924729,0
HighValue,4030.404896139561,8.30187020365448,1,1,109,0,0,0,0.5504306223072641,0.3592176561698193,0
LowValue,6672.65638367557,8.80592317217161,2,0,18,0,2,0,0.5750553760696261,0.9835064809302836,1
MidValue,3735.1833560908585,8.225819876327217,1,0,103,1,0,0,0.30909450467621225,0.9741815424503684,0
MidValue,4044.967343050732,8.305475946279085,4,0,44,1,0,0,0.6349282044581329,0.6284900797249113,0
MidValue,5489.201251289544,8.610720191625784,4,1,38,0,3,0,0.3438166771665232,0.0987654235589071,0
MidValue,6180.974751785507,8.729393038533852,1,1,50,0,0,0,0.23009110122906784,0.788677934960428,0
LowValue,4465.529923801919,8.404367082728076,1,1,111,1,0,0,0.5553667636184751,0.6630699761353211,1
MidValue,4616.281736839781,8.43756144226963,3,1,74,0,0,0,0.2271026373761981,0.6693168236361018,0
MidValue,6213.472553753964,8.734636133690813,4,1,44,0,0,0,0.3529442125801595,0.29943519338667457,0
HighValue,5381.0880272962595,8.590831687023824,3,0,1,0,1,0,0.4007665345202022,0.702820749471621,0
MidValue,4572.0698433291445,8.427939996519589,4,1,107,0,0,1,0.4366532478394407,1.0347880001556071,0
LowValue,109435.10476764664,11.603096139822064,3,1,24,1,0,0,0.26746476968133914,1.1566247115398318,0
MidValue,5114.182262225533,8.539968310639559,3,1,72,0,0,0,0.11240412583627692,0.5093997910813852,0
MidValue,5381.949385248459,8.590991715813512,2,0,106,0,0,0,0.31770257173673416,0.022478054304936046,0
MidValue,8001.846772703992,8.98755260395159,4,1,19,1,0,0,0.20426413619807957,0.24033456222244454,0
MidValue,4542.1881144869185,8.421384272449332,3,1,40,0,1,1,0.12565454754925368,0.0,0
MidValue,4190.355713080313,8.340779519789903,1,1,24,0,0,0,0.19061582420791104,0.6462175649962656,0
LowValue,7120.4461911646395,8.870866100517217,1,1,31,0,0,1,0.3738646316560664,0.7956868814835213,0
MidValue,3941.449033882115,8.279557391393359,3,1,94,0,1,0,0.1713552391710802,0.017370404275846907,0
LowValue,7579.834213515872,8.933378527134405,4,1,80,0,1,0,0.09129700114450959,0.16062452171771596,1
MidValue,4708.703290682062,8.457380189417252,1,0,65,0,2,0,0.15920388812389968,0.42670929599274876,0
HighValue,5110.759277066403,8.53929890517287,4,0,70,0,1,0,0.233204991977318,0.7647266324560282,1
HighValue,6100.442421711307,8.716280484784159,2,0,31,1,0,0,0.33227906048119504,0.4050829622862606,0
HighValue,6819.66454311965,8.827712186430631,2,1,85,1,0,0,0.2778645343690149,0.6769624335638738,0
MidValue,6495.497977501841,8.779018538001544,1,1,106,1,0,0,0.2372210331943258,0.4492888411716897,0
MidValue,4694.54696711636,8.454369884775062,3,1,45,0,1,0,0.11795639471226413,0.48147963770559205,0
MidValue,4450.356746753232,8.400964215602555,2,1,40,0,2,0,0.43838771066161103,0.6754618759614891,1
HighValue,5521.208969082478,8.616533234780677,1,1,9,0,0,0,0.14103672810556947,0.36677020460598053,0
HighValue,5202.078608347038,8.557005769449678,2,1,91,0,0,1,0.2688267937355544,0.44970282378936516,1
MidValue,4036.5903391544516,8.303403342303369,4,1,16,0,0,0,0.5307734767375862,0.2690919486228032,0
MidValue,5616.092112260756,8.633569391233785,4,1,72,0,0,0,0.4544887100098581,0.2174718428894668,0
LowValue,6491.179430242212,8.778353566922013,2,0,23,0,0,0,0.019254316811234486,0.789837048922301,1
MidValue,5249.760057460799,8.566128117956767,3,0,51,0,0,0,0.3622283023623214,0.2546098614425188,0
HighValue,7345.999575576461,8.902047287851998,1,0,27,0,0,1,0.578414685363911,0.5777885299952125,1
LowValue,5615.453193911624,8.63345563937141,3,1,83,1,0,0,0.3216983872732661,0.136582166556993,0
HighValue,4766.280498790599,8.469531295259031,3,0,81,0,0,0,0.2697853530660279,0.4375665681732063,0
MidValue,5150.322334897128,8.547008724757227,4,1,37,1,0,0,0.6853048497979118,0.6819081352378079,0
LowValue,4159.835199247613,8.333471102153807,2,0,57,0,0,1,0.4758363599974364,0.47673999361193853,1
MidValue,3453.0530478095097,8.147303616958549,1,1,93,0,0,0,0.18488784871329564,0.5257061837931555,0
MidValue,5714.792766999516,8.650988283493918,2,1,107,0,0,1,0.6044422428772472,0.2566579445721214,0
LowValue,3720.12452365861,8.22178119289246,3,0,31,0,0,0,0.2569028580819583,0.4329215769191094,0
MidValue,4462.562041505296,8.403702390266357,4,0,51,0,1,0,0.15500882703830077,0.9440225218488916,0
HighValue,4866.199919442577,8.490274085513892,4,1,75,1,0,0,0.3249369718354044,0.8280999020668269,0
MidValue,5577.6562612736125,8.62670321298333,1,1,89,0,1,0,0.44467801112377914,0.8576421062648915,0
MidValue,5691.742979916395,8.646947481245903,3,0,81,0,0,0,0.16217981919315874,0.4213150792832921,0
MidValue,5081.335314241644,8.533526142467277,3,0,23,0,0,0,0.30134858864158764,0.314943332592168,0
LowValue,2103.0385189278795,7.6516138811652485,3,1,92,0,0,0,0.0871753894519008,0.7399905232821359,0
LowValue,4690.11095248988,8.453424710252945,4,1,9,0,1,1,0.40637072215113473,0.7748416929842514,0
HighValue,3836.6908851393355,8.25262613271421,1,1,54,1,0,1,0.36113046937211946,0.6224667570888481,1
MidValue,4832.978671900954,8.483425149152113,3,0,119,0,0,0,0.23465419287611117,0.167353020962285,0
HighValue,6486.9892440060285,8.777707937964964,1,1,63,0,0,1,0.2812254639302525,0.5929490294482309,0
HighValue,6207.236436912229,8.733632146980629,4,1,16,0,0,1,0.343307409934879,0.33189168252990076,0
LowValue,5330.495402082991,8.581387041051972,1,1,69,0,0,0,0.4252778026217288,0.8372349189165627,0
MidValue,5758.639696118915,8.658630198976299,2,0,87,1,1,0,0.10868364417510298,1.345235046419961,0
MidValue,2767.3876988979346,7.926020371560182,4,1,70,0,0,0,0.17766017262485911,0.03855148596616681,1
HighValue,5292.3011985384155,8.574197375309504,1,1,107,0,0,0,0.5732420135601584,0.8375359152403701,1
HighValue,5936.766168423441,8.689088275704188,2,1,71,0,0,0,0.22415036681576161,0.39490942121671213,1
HighValue,3940.8090708698214,8.27939505195566,4,1,108,0,0,0,0.38358128922460016,0.3638768623664952,0
MidValue,5607.481402863675,8.632035267195619,3,1,80,1,0,0,0.5057918424491303,0.671567551646823,0
LowValue,4428.760623036448,8.396100826147261,4,1,111,0,2,0,0.0935999281575919,0.3554118756979966,0
LowValue,6500.760127035083,8.779828208001694,1,1,52,0,0,0,0.11323347531078089,0.10597163489263883,1
HighValue,6662.628179092844,8.8044193868358,2,1,111,0,1,0,0.11754064322203872,0.5472919038055042,0
LowValue,4197.825359514435,8.34256008884866,2,0,41,0,0,0,0.16888212671972563,0.30816628588376505,0
MidValue,7194.383883717295,8.881194972132691,3,0,93,0,0,0,0.22532168300486746,0.0,0
MidValue,4714.879554851801,8.458690721647447,1,0,74,1,0,0,0.18970345410148998,0.026765174850314044,0
MidValue,8092.916837250701,8.998868050766113,2,0,2,1,2,0,0.23162140182309418,0.3182629606383872,1
MidValue,4262.668677703779,8.357885260599637,2,1,31,0,0,1,0.365441258141064,0.9372655238096548,0
MidValue,5095.634471060827,8.536335693242403,1,1,23,0,1,0,0.19851647678537526,0.695418885669001,0
LowValue,5319.7841273760305,8.579375963838418,1,1,101,0,1,0,0.3269254994158377,0.6506556683001455,0
LowValue,3873.8059282010563,8.262250857488361,2,1,101,0,0,0,0.4082141605445307,0.4225632531336871,0
MidValue,2411.9307075934034,7.788597348923197,2,1,44,0,0,0,0.4105227004448583,0.04481299953490525,0
LowValue,3800.5940799311793,8.243175752469899,4,0,94,1,0,0,0.23608906979832112,0.15957542388492624,1
HighValue,6619.408504158775,8.797912354604074,2,1,31,0,1,0,0.2363742353649871,0.571713808101401,1
LowValue,4507.000088709824,8.413608894837978,4,1,81,0,0,0,0.24764229018832123,0.8310092179426387,0
HighValue,4509.940089551484,8.414260856351788,4,1,83,0,1,0,0.10431537132179411,0.5143520333835045,0
MidValue,7275.202855163823,8.89236441928838,4,0,84,0,0,0,0.42225245112440574,0.6391669534696266,0
LowValue,5740.306688288896,8.655442109449545,4,1,5,0,0,0,0.23344650934871553,0.7133929593222104,0
MidValue,6053.462537920074,8.708550888698207,4,0,64,1,0,0,0.3457599265871194,1.1664693357927831,0
LowValue,6274.172989080233,8.744356331600908,1,0,11,0,0,0,0.624001432487626,0.21328855804450086,0
MidValue,3638.873046250061,8.199704082618727,4,0,21,0,0,0,0.08014379597035926,0.046590559571434376,0
HighValue,5187.089286785674,8.554120755539913,1,1,44,0,0,0,0.10881918243219518,0.9350429245625576,0
MidValue,5225.325337184639,8.561463697718208,3,1,13,1,0,0,0.26582109890769273,0.3441206102973483,0
MidValue,4761.700080409257,8.468570030186982,3,1,14,0,0,0,0.15469675368137817,0.15626799365786748,0
MidValue,3360.4522855406362,8.12012838741318,4,0,118,0,0,0,0.33992369816360496,0.0,0
LowValue,5695.669632809108,8.64763700812175,4,0,37,0,0,0,0.3893659234220349,0.860640255983355,0
HighValue,2512.305755338393,7.82935419959666,3,0,98,0,0,0,0.17568331190734277,0.31556302867582664,0
LowValue,3594.399852227582,8.187410488511905,2,1,39,0,0,0,0.08955991385489252,0.5560538844227925,0
MidValue,3785.992782911261,8.239327522146416,2,1,5,1,0,0,0.15528766293467058,0.6962248741175437,1
LowValue,4381.80246846007,8.385443631746393,2,1,11,1,0,0,0.35002101618845166,0.17547855167842913,0
MidValue,6261.638894407659,8.742356923894905,1,1,78,0,1,0,0.12871478505690673,0.4325720443223714,0
LowValue,7485.020647631791,8.920792646626719,1,1,73,0,0,0,0.20226091866857998,0.359413588215693,0
LowValue,7583.44298684519,8.933854452941729,3,1,99,0,1,0,0.5271085423634544,0.9619417702042495,0
LowValue,6209.389067699676,8.733978824768473,1,1,110,1,0,0,0.15691144317351888,0.4054057784629592,0
HighValue,5659.540801625451,8.641274714623172,2,0,33,1,0,0,0.15870068819985594,0.33546435924598766,0
MidValue,1495.1766997628574,7.310668266374162,4,1,115,0,0,0,0.365801538523335,0.5260394210827101,0
HighValue,6695.179469002289,8.80929241422983,4,1,91,0,0,0,0.1974839743575027,0.5776707173139066,0
MidValue,8943.419850312695,9.098785136412173,4,0,74,0,1,0,0.23784436059629632,0.1244910092659337,0
MidValue,5679.314648987953,8.644761906129482,1,1,10,0,1,0,0.819465423075,0.4065049697653109,0
HighValue,5351.058972144555,8.585236620458971,4,1,55,1,0,0,0.17218588530856144,0.8026791500673823,0
MidValue,6048.043740278818,8.707655479074129,4,0,34,0,1,0,0.4284405829415504,0.0812315067326757,0
MidValue,6092.942878209111,8.715050586053923,4,1,23,0,0,0,0.5689244209409251,0.33064481383713884,0
MidValue,5202.374502270773,8.557062636841607,2,1,119,1,0,0,0.3030812825860502,0.5010167083679704,0
HighValue,4439.276200929583,8.398471860908042,1,0,89,0,0,0,0.10623427194953539,0.36124233347281753,0
HighValue,5542.638814503964,8.62040638984846,4,1,82,1,0,0,0.36200545552358177,0.5758398648988354,0
MidValue,2942.3161856820425,7.987292178983834,4,1,14,0,0,0,0.07514331460145054,0.4718087775049261,0
MidValue,2176.360185057081,7.685868497736166,2,1,32,0,0,1,0.19705962619059353,1.1205771869651753,1
MidValue,7041.407961082261,8.859705430596225,3,0,61,1,0,0,0.199324283754561,0.9082164121373648,0
HighValue,4312.908004496301,8.369599501848358,1,1,28,0,1,0,0.47893718841302785,0.7718698102195808,0
MidValue,6073.933214661438,8.711926274676951,1,1,62,0,2,0,0.45728425169729253,0.0,0
MidValue,7331.89098417445,8.90012512151315,4,1,3,0,0,0,0.2757224916914311,0.6700932951848654,0
HighValue,6830.420524411711,8.829287914015739,4,1,87,0,0,0,0.43889781170129294,0.30805053364731205,0
HighValue,4169.910937013288,8.335889741059184,4,0,65,1,1,0,0.07721487398515924,0.37483901194008984,0
LowValue,5487.131044265865,8.610343047448966,2,1,67,1,0,0,0.13018720399061331,0.1642261465697895,0
MidValue,3250.869533010903,8.086985350862575,4,0,111,1,0,0,0.220744803927555,0.0,0
MidValue,4843.140347874011,8.485525077802805,2,1,53,1,0,1,0.6394105201522606,0.256208093917202,1
HighValue,6569.025426512496,8.790272981564394,4,0,79,0,0,0,0.2711979940189032,0.16386588353675313,0
LowValue,5048.039360543999,8.526953278539363,2,1,7,1,0,0,0.4296427102266347,1.2991303235111538,0
HighValue,722.946053409918,6.584716877744816,3,0,75,0,0,0,0.44089813227738744,0.6034753867078284,0
HighValue,1623.1048894349906,7.392712105726479,1,1,71,0,0,0,0.4151201816654975,0.37204744196492556,0
HighValue,3797.621644145576,8.242393554688922,1,1,46,0,0,0,0.13351951063725967,0.0833402480084896,0
HighValue,6999.862488948331,8.853788633154293,3,1,84,0,1,0,0.31764378257206927,0.41997499928146964,1
HighValue,5298.62789174503,8.575391887970728,2,0,86,0,0,0,0.561898648362512,0.8276597531929368,0
MidValue,5211.909686018326,8.558893459856536,3,0,80,1,0,0,0.07261278237366518,0.24935949133951452,0
MidValue,3026.049224644642,8.015343570747653,1,0,89,0,1,1,0.13818886053901444,0.4731730330527722,0
HighValue,5219.647477202367,8.560376710962867,1,0,103,0,1,1,0.5529256193159445,1.0603170783049425,1
MidValue,1587.2415323256828,7.370382728683151,2,0,103,0,0,0,0.32571225143223925,0.691712962838178,0
HighValue,5512.7482749302735,8.614999938552227,4,1,63,0,0,0,0.32473598305541473,0.10503245474250739,0
MidValue,6768.860557427988,8.820235768563915,2,0,117,0,0,0,0.2836293777876667,0.45417703549947136,1
MidValue,3773.619009500488,8.236054731954258,4,0,85,0,1,0,0.3493979957463387,0.18521641166097014,0
HighValue,6626.594116543194,8.798997138974185,1,1,73,0,0,0,0.435635808195816,0.3097874291240883,0
MidValue,3920.15692744301,8.274142023792662,3,0,53,0,0,0,0.13506281568513775,0.4601240123225734,0
MidValue,5221.062129879113,8.560647646905476,1,1,10,0,0,0,0.2182900283071147,0.7068552327107501,0
LowValue,4796.095770120079,8.475765965888991,2,0,95,0,0,0,0.45629196563029956,0.5546514536738595,0
MidValue,5140.801282233359,8.545158741072322,4,0,25,0,1,0,0.1115735947243274,0.8333984474255896,0
LowValue,7290.430602701121,8.894455047546938,2,1,115,0,1,0,0.1305696326834235,0.1791275202857902,0
MidValue,6321.823952088217,8.75192121520512,4,1,35,0,0,0,0.5457656710419627,0.6937823729836674,0
MidValue,3983.4178292812467,8.290146490032921,3,1,12,0,0,0,0.07103496228126514,0.3799078467985971,1
MidValue,852.5566604662436,6.749411926048901,2,1,119,0,0,0,0.06648775630586777,0.43560120177070455,0
MidValue,6342.205066595346,8.755139450702249,1,0,114,1,0,0,0.17159601871968405,0.3888496428720351,0
MidValue,6145.864291156923,8.723697359415365,1,0,83,1,0,0,0.39862386052676363,0.24739266052770492,0
MidValue,5248.267291571862,8.565843782335655,1,0,43,0,0,0,0.15237791519245503,0.12293195946084368,0
HighValue,4162.713846536366,8.334162706560884,4,1,72,1,2,0,0.07699086371598964,0.5648576384350437,1
MidValue,7397.611758985241,8.909047661456025,3,0,74,0,0,0,0.2554414556336531,0.10998766639722879,0
LowValue,2319.182202328084,7.749400997062849,2,1,29,0,0,0,0.24138571269569764,0.3870496533402585,0
LowValue,3823.4324870508963,8.24916536585435,3,1,72,1,1,0,0.3780129811523693,0.3303727641346232,0
LowValue,2800.4820702717266,7.937903866939071,3,0,56,0,0,0,0.23334341375993597,0.647310590030681,0
HighValue,5556.960639977253,8.622986528589221,2,1,86,1,0,0,0.16388552559622177,0.7569997321648645,0
HighValue,4300.186222397705,8.3666461293116,2,1,115,0,1,0,0.16776151598024666,0.8868184424220097,0
