age,total_invested,risk_tolerance,months_active,app_sessions_month
36,276467,4,3,15
25,46350,2,2,16
48,74328,2,3,12
23,14541,2,5,19
22,24354,5,2,15
41,968951,3,12,17
38,39433,3,9,15
36,139229,2,2,10
37,8950,2,1,20
31,94393,5,1,13
24,32383,3,7,17
32,5638,3,1,14
26,19979,2,1,25
39,216278,3,3,17
30,215748,2,26,25
25,422891,4,9,22
29,27860,4,15,19
35,19832,2,1,13
27,3669,4,1,21
25,290,3,1,15
33,745107,4,24,18
33,21542,3,2,13
27,19949,1,4,20
28,28692,3,4,16
33,679702,2,10,25
20,17143,1,2,14
20,31514,3,6,22
26,710853,3,43,44
30,39776,4,4,24
34,97896,-2,6,13
43,94507,3,5,15
38,70206,2,13,22
30,15733,3,2,19
31,16907,4,1,19
23,34025,4,11,22
31,22109,2,4,13
29,1270379,3,19,31
34,702283,2,8,22
25,159980,4,6,21
36,36101,4,1,12
44,87116,3,10,15
31,863571,4,9,22
35,2146978,5,8,19
37,43816,3,2,19
28,246039,3,23,21
33,120517,2,3,17
32,23346,4,1,14
32,621870,4,34,41
25,469390,1,10,24
32,411019,2,4,14
35,272625,1,21,23
43,844986,4,1,15
39,4237,2,1,13
49,86367,1,9,15
25,8827,4,1,14
38,7510828,3,19,20
33,190064,2,14,20
49,18556,4,2,18
25,657230,3,17,33
25,4947,2,1,8
27,355484,3,6,17
18,514399,1,21,16
27,107252,-1,15,17
25,1340338,1,3,11
33,577,3,1,15
34,236914,2,1,19
47,408612,4,5,18
39,38147,3,7,16
27,252224,4,1,22
24,10286,2,4,17
35,1564541,3,14,19
21,6572,4,4,12
46,10113,2,1,12
41,80663,2,24,32
28,5416,3,2,10
18,243358,3,12,29
42,7422,3,1,19
31,9262,3,4,11
41,290654,2,5,24
19,70700,3,5,17
27,163348,1,5,20
32,65553,3,2,13
32,209513,3,5,16
28,121786,5,5,12
36,89876,1,1,18
23,91985,4,35,30
30,180115,2,16,21
32,1181721,3,17,22
36,610509,5,9,19
37,53085,4,1,16
23,27525,1,6,20
19,108289,4,13,24
42,65624,2,1,20
34,614033,1,5,14
26,49415,2,4,19
44,664570,1,1,11
32,138754,1,3,16
41,282493,3,32,32
32,239459,4,10,24
48,80526,4,2,16
46,310588,3,7,17
30,239024,2,2,18
39,59250,1,7,15
37,121402,1,18,30
42,494440,3,6,21
24,145128,3,10,21
37,1465913,1,4,21
40,103381,4,5,14
18,95820,3,9,18
22,1485918,4,13,23
18,384393,4,8,21
29,1283525,2,30,36
37,299367,3,13,29
44,794988,5,12,22
32,37414,3,14,18
45,194296,2,2,15
20,1295,3,4,20
18,70593,-2,6,19
31,15718,2,4,20
35,328950,2,15,20
31,6099,3,1,20
18,1585,2,1,15
31,12177,1,17,12
21,8547,4,1,15
37,489119,2,2,13
34,78724,2,3,19
24,927512,4,11,16
27,1216312,3,6,25
23,16364,4,24,25
31,38512,3,2,11
39,92235,2,16,18
24,20267,-1,2,13
36,513946,-1,2,17
27,174385,3,5,15
25,51538,3,1,10
31,75894,3,3,19
23,4678,2,3,14
27,45126,5,1,18
22,449556,2,15,20
47,87811,4,3,13
32,383678,2,32,31
26,109073,5,18,15
33,31140,2,1,14
31,838162,3,5,17
30,303331,2,7,18
36,20066,4,13,23
38,3227241,3,17,26
27,45053,3,7,26
27,42468,2,1,16
29,627591,4,5,16
18,414003,2,17,19
19,30751,1,10,18
42,613884,2,16,34
45,226803,2,8,16
30,112456,1,1,20
36,936394,3,27,35
34,2273795,2,20,33
56,76460,3,1,20
40,18296,1,1,17
30,201906,3,6,18
24,456382,-2,11,21
19,12654,2,3,16
33,59315,3,1,22
25,31392,2,5,27
20,7277,2,3,21
26,68295,3,3,13
23,55449,4,8,15
45,534555,2,17,32
39,133474,4,6,16
31,17733,3,9,22
43,473077,4,8,26
32,93094,3,6,17
25,4042,4,2,16
44,34595,1,3,16
36,9148,5,3,10
23,914336,4,19,23
30,1974486,1,14,21
24,221720,2,6,14
20,1660392,3,19,32
39,121763,4,17,26
47,1619245,2,21,24
20,26378,1,2,16
36,166539,4,10,16
26,588891,3,7,19
28,1366117,4,10,19
27,25057,2,2,13
25,11080,4,9,16
32,21296,2,4,12
25,215220,3,14,20
34,337699,4,12,12
31,90572,1,1,14
30,2680,3,1,24
24,119211,-1,10,19
27,62906,3,6,18
38,717839,3,6,18
36,114218,4,11,22
24,108078,3,15,12
32,50875,3,2,16
38,78536,2,6,25
18,183293,1,14,22
36,5644029,2,16,22
26,227457,3,2,11
36,24532,4,1,8
25,10712,1,2,14
18,291801,2,23,31
18,13221,2,4,17
32,369864,4,4,11
34,365527,3,1,17
24,15662,3,1,11
37,100067,1,8,17
18,33636,5,7,23
31,177191,4,6,22
22,5119,1,1,16
26,46147,1,3,14
32,1171734,2,13,24
25,31070,1,1,15
28,520503,3,17,25
40,51639,2,1,8
27,5414,4,1,18
38,83494,3,5,7
22,826337,3,23,24
36,20799,1,3,19
43,59335,1,8,23
18,11160,1,7,17
25,49520,2,1,15
36,17183,1,2,18
30,2892887,2,21,22
34,9094,4,1,18
27,15719,1,9,24
32,740857,2,26,39
30,192573,3,1,11
41,138980,3,4,15
34,2569,2,2,18
34,9493,3,2,11
28,112268,2,1,18
28,60718,3,8,13
28,2120267,4,10,31
35,657664,1,9,22
28,158853,4,20,27
34,135249,3,1,16
48,39599,4,3,19
38,10564,2,3,20
29,4712,4,2,20
41,33540,3,1,14
28,391791,2,5,22
18,116058,3,14,22
23,50999,3,24,25
18,1029,4,1,10
29,144409,2,13,28
32,73373,3,13,21
45,110006,5,3,16
34,204684,4,1,18
30,1870915,4,36,25
38,13772,4,8,15
18,278165,4,32,45
33,73237,2,5,25
38,127623,1,4,23
20,87862,5,2,12
41,243501,4,32,30
34,507024,2,2,17
28,416235,3,1,16
37,21904,2,5,17
50,76456,2,3,15
33,43248,3,2,12
33,172459,1,8,13
28,39037,5,3,21
25,154095,4,4,24
38,4157,4,1,18
25,98275,1,7,22
32,39583,1,1,14
28,56816,3,1,11
35,3715771,4,10,23
34,17033,1,3,19
40,12194,3,1,19
27,13179,3,6,19
29,5279,2,1,17
24,4788,2,2,16
28,24964,4,7,19
35,253434,3,10,18
38,585512,2,10,21
24,69884,1,5,14
38,140604,1,4,13
42,275208,2,12,25
35,7717,3,1,19
47,5287,3,1,11
25,644670,2,8,19
22,576993,3,4,20
18,2514813,3,9,21
43,163875,4,2,14
37,344937,4,3,18
31,835088,2,18,19
34,191571,3,4,13
22,106631,1,7,17
51,35230,4,1,13
33,13813,2,1,13
32,10708,3,1,14
37,111711,2,4,19
35,350317,1,36,33
33,565795,1,16,30
25,16871,3,8,28
35,624795,4,15,18
47,425411,4,7,21
42,121196,4,3,21
44,100956,3,1,18
27,123868,3,8,20
24,47784,3,1,11
30,59487,3,4,17
32,24425,2,13,21
40,25194,2,1,14
18,9538,1,1,14
44,179926,3,2,12
30,116413,1,6,18
28,5842,3,2,12
23,29862,4,5,20
18,77270,2,2,14
38,236061,1,5,19
32,11180,2,2,21
21,140368,1,31,31
21,19462,2,5,14
29,236403,3,10,20
45,48809,3,9,18
29,136513,3,5,16
19,69812,1,2,10
30,132486,2,5,25
29,501712,3,9,19
18,254016,3,4,22
31,19153,1,1,7
30,4834,1,1,11
37,28730,1,3,13
46,10884,-1,1,18
41,1219098,1,18,26
29,14495,2,1,19
23,33240,3,4,14
52,246565,3,9,17
32,2484778,1,13,23
32,146681,3,5,15
31,10548,4,1,11
33,63993,4,2,14
30,967220,2,4,14
27,167375,3,3,17
27,8814,3,3,17
31,11114,2,1,21
27,154089,1,19,31
26,112686,3,1,8
32,722495,3,4,14
29,292854,3,31,26
44,98195,3,8,31
18,84407,3,3,11
40,43749,3,1,10
41,218485,4,26,27
18,14831,3,1,18
29,20971,1,9,21
29,1473072,3,16,24
20,806,3,1,16
25,15912,2,10,21
23,1820312,3,54,51
46,48356,4,8,19
39,58472,3,4,11
42,690403,2,16,29
37,269846,2,6,16
22,224979,3,11,22
27,1183993,2,7,20
35,19989,4,1,14
22,111315,1,1,11
37,37251,2,1,12
30,344077,2,1,26
29,94959,3,1,21
37,168567,4,4,15
35,85070,1,1,11
29,292506,1,15,23
41,158943,3,11,22
23,25113,3,6,21
36,25274,5,5,15
36,474397,1,2,19
29,31437,2,5,12
34,97150,4,8,16
21,71490,5,12,10
39,24801,5,1,18
30,95089,2,9,7
27,151874,3,10,21
40,273041,-1,6,19
26,131291,5,1,15
20,182881,1,6,24
19,96721,2,5,16
36,347098,3,5,19
21,20219,3,4,14
46,16824,3,1,18
18,1630,3,1,17
45,25242,4,1,19
33,14265,1,2,14
31,8599,2,2,14
27,33560,3,2,19
35,2512,4,1,12
31,1638890,5,10,24
40,88782,2,13,14
32,391455,2,3,16
33,44324,2,2,18
29,22247,2,14,21
31,765059,3,7,14
34,14830,2,2,24
18,641619,1,10,21
21,11426,1,3,25
37,82082,2,7,12
33,4341037,4,39,37
30,179587,4,2,24
32,1009810,3,21,22
34,4378005,2,3,22
27,114262,2,6,20
25,29063,1,4,17
33,72065,5,12,19
24,9588,2,1,15
35,577499,2,7,16
18,234556,2,11,21
40,1091445,4,5,22
35,67369,3,1,20
34,244630,4,2,21
39,286448,1,9,17
45,1134955,5,18,21
40,197409,3,4,16
18,60790,4,6,20
21,27377,4,2,7
27,121690,5,4,21
32,821687,2,3,14
36,16790,3,8,26
26,96355,4,33,31
33,315770,1,13,15
25,22968,4,1,12
27,127630,4,6,16
20,6554,2,1,14
24,14660,3,2,12
21,3332,4,1,17
24,170157,3,3,16
40,165622,3,9,24
24,60416,2,5,20
53,1402517,3,21,17
35,8533,2,1,14
33,62676,3,3,18
25,207406,4,3,19
37,173473,4,2,19
27,92772,1,39,20
32,45515,3,3,8
52,240706,5,22,21
31,26201,3,3,10
41,50682,1,1,17
26,16123,1,1,9
31,252764,3,15,24
46,14923,4,1,15
26,1081086,4,26,34
46,120370,3,4,17
37,1081746,5,2,22
27,150228,1,7,15
37,4689,2,1,13
39,18208,4,1,16
36,1031679,4,14,16
19,31653,1,4,10
26,22517,3,5,15
30,10818,3,1,17
31,14060,2,1,18
36,16364,1,3,14
33,259638,1,5,14
21,200096,-2,11,22
35,429938,1,5,15
36,234260,3,12,21
36,39072,2,1,18
40,14771,2,1,14
38,6874,2,1,8
35,152885,4,11,14
31,63108,4,11,11
18,227983,3,1,14
35,23729,2,1,12
33,138603,1,9,12
34,317804,2,15,11
21,15498,3,11,22
23,111827,3,1,12
40,1392209,1,7,20
31,417174,2,11,16
37,117375,3,2,18
32,26213,2,6,16
32,28603,3,3,15
39,5218,2,2,14
27,296729,3,27,26
32,2262530,4,19,21
28,33673,1,4,11
28,10118,2,1,14
29,863160,2,10,11
33,9495,3,2,18
28,244225,4,1,10
42,320797,4,3,17
24,370550,4,6,12
30,101035,2,1,12
28,513097,-1,6,21
43,37886,2,1,21
33,3145426,3,17,25
40,387260,3,20,27
20,232066,3,10,18
34,651204,2,5,30
39,3166,3,2,18
32,451039,3,10,20
40,2004054,4,21,28
27,3432,1,1,20
43,233733,3,5,20
50,46295,3,3,20
29,64395,4,3,10
28,95174,4,4,14
43,154191,2,24,36
44,201977,3,2,22
27,80706,3,5,19
28,884855,3,24,32
29,645296,-2,5,20
21,99857,1,15,23
24,20194,3,1,16
23,264910,3,24,27
25,19236,1,1,12
31,13736988,3,31,29
33,57667,3,1,21
44,194253,4,4,21
24,25007,4,2,12
39,89377,1,4,14
30,7453,4,2,13
31,16368089,4,26,25
37,6900,3,2,20
23,1706106,4,8,18
35,55982,2,1,18
33,538314,4,13,20
35,83171,4,6,19
34,14127974,2,31,22
51,330485,2,4,19
26,13619,3,1,13
27,10521,2,3,24
27,91116,5,10,18
27,170018,2,8,21
26,78564,1,12,19
41,90419,4,1,21
43,55297,1,6,26
27,1402766,5,21,31
25,86705,3,1,15
35,31188,3,1,11
27,668813,3,10,29
37,213067,3,3,21
33,36894,-1,8,19
19,319549,2,6,18
44,667061,4,34,30
46,1566784,4,17,30
27,428934,5,9,18
28,2688,2,2,19
34,24245,3,2,20
34,932051,5,17,25
37,251431,3,7,21
48,548617,4,12,24
30,29792,4,4,15
25,29147,2,1,15
20,68798,3,3,24
26,110458,3,1,14
31,148079,2,12,16
46,205916,5,9,14
27,9812,4,1,21
33,371976,5,7,28
31,229045,-1,16,21
41,136665,2,9,15
52,85849,2,5,16
27,38352,4,2,19
28,335832,2,17,28
40,9431,2,4,18
37,31578,4,15,23
46,257653,2,12,21
36,12495,1,13,17
29,761402,3,36,28
36,186552,3,11,22
40,63879,3,1,16
38,8929,3,1,13
36,263037,2,1,12
40,110683,2,1,11
41,2171,3,1,13
43,94787,5,5,18
37,166673,5,1,13
30,14431,1,5,19
33,112620,4,18,25
41,2372567,3,11,28
25,240449,3,23,24
34,153923,2,2,18
28,40265,4,6,22
32,2501,3,3,20
42,582359,1,5,22
33,338593,4,6,14
32,36642,5,1,17
21,10776,3,2,11
37,71137,3,9,25
37,874936,1,11,16
49,321336,2,6,17
29,34741,1,2,15
33,173810,4,4,16
33,122234,3,1,17
44,2287830,2,24,35
31,181045,4,16,26
34,6186,3,1,22
36,54005,4,1,12
33,52794,2,6,24
28,16132,4,2,13
33,4073675,4,21,29
40,835638,4,11,26
23,63542,4,2,22
33,7541,4,1,16
26,2054439,4,12,19
41,274971,4,4,18
19,148163,3,8,20
27,21553,2,2,14
35,29300,1,1,12
44,120151,2,8,12
31,1516155,4,4,20
27,8394,5,2,26
47,11105,3,1,23
20,807215,3,6,16
18,33677,2,10,20
35,68520,3,2,14
27,599721,3,10,16
23,18642,3,1,14
37,37333,2,3,14
33,314606,3,10,21
27,65507,3,8,22
21,64795,2,2,10
38,67407,4,1,13
37,261881,3,1,13
31,126494,3,14,27
46,29616,2,1,13
23,3551,3,1,17
19,92591,2,2,16
26,12882,4,4,11
31,104996,1,12,17
33,1750,2,2,15
30,28480,3,6,19
34,15090,3,1,26
21,594122,3,4,22
43,30351,-1,1,17
31,43244,4,1,20
40,201369,4,3,13
34,464809,4,11,17
35,472997,2,10,23
36,45349,4,4,17
35,9308,2,1,21
37,8293,2,2,15
42,64815,1,5,15
33,304714,1,16,33
37,1361112,4,27,27
31,204127,4,8,17
43,51621,1,3,18
26,40184,3,9,11
46,193725,2,3,19
31,128399,2,7,19
20,40770,3,2,20
33,5368,3,2,15
26,29947,2,1,20
38,326732,1,4,22
26,294441,2,7,20
28,252713,3,12,25
18,1039760,3,13,18
28,282186,3,39,30
18,5989,2,1,18
19,105718,5,5,21
38,346835,4,5,17
38,23013,2,13,20
35,18726,4,2,26
24,162785,1,1,13
31,3246,1,3,16
31,2338419,2,33,31
22,51784,2,18,38
44,180999,3,4,16
39,3491221,3,16,24
30,18955,5,1,13
32,447406,4,3,9
33,110774,2,10,19
18,17308,2,2,14
30,17138,1,1,14
26,177055,2,15,24
23,382274,2,7,17
29,3973880,4,36,38
46,94496,2,1,11
37,9021,3,3,23
27,35406,3,2,16
36,747957,1,16,32
43,39800,1,2,13
39,43996,3,3,17
32,56995,4,1,19
26,116949,3,11,13
37,63427,4,2,9
35,8079,1,1,14
39,75146,2,4,14
37,9605,1,3,14
40,46001,2,1,14
27,10574,2,1,16
42,159945,4,18,25
33,227176,4,1,14
48,29796,4,1,21
26,75220,1,2,17
45,446113,3,24,32
33,8109,1,1,16
26,255829,4,13,22
28,304273,3,17,29
29,60238,1,3,12
35,210653,5,2,22
36,96672,2,9,24
27,24261,2,9,19
31,64068,3,12,16
49,2097703,3,14,27
45,163030,2,2,12
35,263604,3,9,18
32,3950,2,1,9
32,33659,2,5,24
36,199542,-1,7,16
23,5960,3,1,14
29,5144,2,1,13
18,3428,4,1,17
35,13374,3,4,24
37,1247183,2,17,37
28,47081,4,6,7
44,425218,2,11,13
22,4136,5,1,14
20,13526,4,1,14
33,99752,3,2,12
40,75705,3,3,13
45,187113,3,6,21
28,297835,4,17,29
40,76459,4,4,17
31,432227,3,5,16
30,16050,3,1,17
39,30034,2,1,17
37,3660,4,1,10
19,250087,3,9,18
43,48061,1,5,18
43,18809,3,1,24
26,68159,2,7,21
35,103409,1,6,20
35,3000,5,1,14
34,483806,4,8,17
27,70008,3,11,20
26,15220,3,2,14
31,9360,2,9,18
41,67259,2,1,16
36,68509,2,11,16
29,1821609,3,19,26
38,286791,2,4,10
18,420435,2,2,16
41,188582,4,4,19
18,48601,4,2,18
29,34850,3,1,5
23,93129,3,8,17
21,41729,4,1,11
41,14703,2,1,14
28,3990525,1,10,30
34,94506,5,8,16
31,27518,4,1,24
35,510966,3,8,18
32,189947,3,21,23
21,32549,4,1,20
39,46748,3,4,25
28,29698,4,10,23
19,131019,3,8,21
28,11489,4,2,17
44,173771,2,1,9
38,60653,2,12,18
29,13969,3,25,14
29,279657,2,11,25
29,673555,1,26,32
48,168860,5,7,24
35,165063,4,21,23
35,212017,1,9,20
40,284236,-1,19,23
33,4135,3,1,13
29,96715,3,13,12
30,24124,2,1,11
31,98512,2,1,6
31,289990,2,5,18
37,7543,3,3,15
32,27905,3,1,12
37,3133279,2,31,35
31,1420033,4,8,16
32,191917,2,18,25
18,1370353,2,55,56
39,237109,3,3,16
34,35397,3,2,12
39,51712,2,1,11
18,97158,2,5,14
48,84497,1,7,10
30,40112,1,5,18
40,537344,2,3,14
23,6049,3,1,17
36,39392,3,4,25
23,30234,4,1,19
27,411297,3,16,25
47,8289,3,1,16
30,53616,1,3,17
33,10006,4,1,16
38,169771,1,11,28
35,1655719,5,3,13
33,13910,4,1,13
34,83357,2,6,16
51,8599535,5,19,27
31,735545,3,19,21
33,63637,4,2,12
40,98129,4,10,21
40,167111,3,1,13
41,71018,3,1,15
37,119304,-2,5,14
22,8500,3,2,18
45,390551,2,12,20
22,4464237,2,21,20
34,34739,1,1,15
25,16973,3,2,15
31,40545,2,4,20
34,132167,2,6,23
34,291133,1,19,18
35,107860,3,17,29
44,1807323,1,8,13
35,328668,3,2,22
30,64713,4,12,10
39,154105,2,1,20
41,1728277,4,26,23
22,14255,3,1,14
36,402998,3,6,18
37,10914,4,1,15
29,65563,4,4,21
43,579611,4,8,16
30,56395,4,9,14
33,68834,3,12,22
30,202164,4,7,13
32,25848,1,2,10
23,304602,2,17,21
20,105174,2,13,22
44,44692,4,1,20
25,415081,1,14,28
24,418679,4,28,23
18,120012,3,8,17
26,5895,4,2,9
21,228181,1,7,20
45,37843,3,3,20
40,137654,1,9,25
26,294618,1,6,18
50,214712,4,21,21
39,130058,2,7,23
29,62083,2,1,14
18,16529,4,10,16
50,494359,2,2,13
20,186955,4,2,22
18,6314,3,3,22
40,2134,2,1,21
51,932562,3,27,33
43,62573,3,6,13
36,1162403,3,11,18
36,85572,3,2,14
38,231915,2,10,14
38,60532,4,6,14
34,545681,3,4,19
32,922063,3,28,25
31,343708,4,5,17
25,225118,2,8,22
29,7852,3,1,22
18,249197,3,2,15
31,247501,3,17,18
24,328751,1,11,20
23,66305,1,6,9
33,37813,3,18,34
43,315446,3,5,11
39,26876,3,6,17
19,6270,2,3,15
24,108411,2,7,16
39,9591,3,3,13
24,21354,1,3,20
30,965875,2,27,32
36,21989,4,1,15
24,19422,2,1,7
32,8894,2,1,16
21,21139,3,3,14
27,90247,4,4,9
34,4652,5,1,17
19,31430,4,6,20
35,63085,3,7,23
31,861388,4,11,29
36,725141,3,29,29
33,5771105,-2,7,15
42,127633,3,1,18
33,11403,3,1,15
28,481070,2,12,28
32,26064,3,8,20
36,84628,3,1,12
32,19929,4,2,16
32,245012,5,11,29
26,16705,3,6,13
26,110706,1,7,15
20,10728,3,1,16
45,153521,1,7,13
22,284010,3,11,23
26,226127,2,17,27
26,37908,3,10,32
39,656773,3,6,10
29,70452,2,8,24
41,338119,2,5,13
26,26599,1,2,13
34,119099,3,17,26
25,239741,2,6,16
49,264134,3,7,23
22,4578395,3,36,28
34,5323658,3,33,29
37,1647833,1,7,20
35,4001,2,1,14
30,61387,1,4,14
30,219454,1,22,28
32,32990,1,2,15
30,1442125,3,57,42
39,2540,3,1,16
49,359440,3,6,16
27,14045,2,5,15
21,6061,3,2,17
31,90754,2,23,26
52,249073,2,7,17
25,5706,5,2,16
45,16808,4,3,17
45,1587949,4,10,18
27,58257,2,2,17
36,897311,3,16,12
45,3024,2,1,15
28,62495,4,2,20
30,22654,3,1,14
27,12835,3,1,21
23,25081,2,2,22
26,38548,1,56,48
22,22569,4,1,17
32,20638,3,1,13
25,19584,4,2,16
33,129690,1,7,22
19,111960,5,10,17
34,150147,4,11,18
38,8729,3,1,19
18,525369,3,8,21
34,28036,-1,7,12
41,425624,1,5,15
